,ASHAHEBOSearcher,ASHACFOSearcher,ASHAAxSearcher,BOHBSearcher,ASHABlendSearchSearcher,HEBOSearcher,ASHAHyperOptSearcher,HyperOptSearcher,OptunaTPESearcher,SkOptSearcher,AxSearcher,BlendSearchSearcher,CFOSearcher,RandomSearch,ASHAOptunaTPESearcher,ASHARandomSearch,ASHASkOptSearcher
0,0.698855515907167,0.664951067376822,0.649852343293081,0.6673240599459589,0.6320341184296917,0.6254948152910613,0.6955253034357058,0.7040172337602347,0.6136320407050824,0.6923036947718723,0.6746030171445536,0.6871153439007835,0.6382137075388203,0.6793752000000002,0.6788837223677808,0.6392812893192339,0.6520175925216548
1,0.808793759337871,0.7731050365749538,0.7850792145131,0.7774936620438786,0.775321711206788,0.8410329761016466,0.8344643186821747,0.8346179965885724,0.8033028016401899,0.7835240445308275,0.8113601274211302,0.7928858060196324,0.7912519366776722,0.8075146349619055,0.7829890340845187,0.8058433385266801,0.8255753231476618
2,0.8487474730419832,0.8191909598798848,0.8476946030963148,0.8326493804527315,0.8194205044922,0.8616798555525843,0.859428011671193,0.8633868615180317,0.8520492979088206,0.8173410853089006,0.8471582097905759,0.8388618095331233,0.8372295626344478,0.8563342279834657,0.8220352455497191,0.8518202364208971,0.8559695219318542
3,0.8634686701326968,0.8363584331867568,0.8603752421548277,0.8482068670453389,0.845872185302507,0.8704835227663257,0.8660410257082966,0.8742933837945793,0.8651803771854901,0.8338572941595488,0.8573039428068681,0.8523439197850903,0.8490396232541781,0.8636638067430666,0.8356098600275407,0.8599319722229817,0.8686940186069532
4,0.877822997169462,0.8439676767004267,0.8615018271619779,0.8563630308964433,0.8510070056761343,0.8759212970957793,0.8705851916980316,0.8758617623957969,0.8679503980747033,0.8475198460409069,0.8602725084947663,0.8652927805747843,0.8572480356790717,0.8688856490977813,0.855667969763515,0.8728078928735168,0.8770582590899147
5,0.8794138470043673,0.8514392337851642,0.8633171229036933,0.8673797540454834,0.8552446203611634,0.8765831542712312,0.8761560792589469,0.881097714905112,0.8778781811428528,0.8492046511997838,0.8619034814936516,0.8679860999125582,0.8657539460571746,0.8712450380127404,0.8577197485503205,0.8730950600813474,0.8787031774065228
6,0.8798746867001925,0.8542203929723211,0.8652162158939569,0.8696695637084841,0.8585753419677918,0.8765831542712312,0.8780607024297172,0.8814816306042941,0.8784056205667998,0.8587042621134066,0.8677477396056699,0.8702240212617989,0.8663413515142941,0.871646287350982,0.8585347822333422,0.8736571999999998,0.88406391722361
7,0.8832517280451743,0.8583543346055784,0.8727405280048693,0.8705570202314667,0.8610579605334969,0.8765831542712312,0.8813441260022591,0.8830914674775379,0.8797727286673585,0.8646648265023087,0.8706195663113238,0.8715929375316759,0.8680208943954039,0.871646287350982,0.8644794534489089,0.8778059924731082,0.8855665606418084
8,0.8837649641265801,0.8612248794462256,0.876574615714715,0.8755772126561032,0.8630853011785231,0.8776655948043911,0.881577489217475,0.8849502315395855,0.8827086432098017,0.8646648265023087,0.8712264819779456,0.871668611333948,0.869542109743474,0.8771173300718538,0.8662971942242826,0.8883948308865464,0.8859793835462657
9,0.8837649641265801,0.8678414635761458,0.8779171401580899,0.8755772126561032,0.8649961080270545,0.8776655948043911,0.8854761458079494,0.8867120327138696,0.886429507473265,0.8682229583868049,0.8712264819779456,0.8722188278343677,0.869542109743474,0.8809938246122027,0.8662971942242826,0.8883948308865464,0.8877707713569725
