problem,searcher,dataset,cv,seed,time_budget_s,concurrency,best_result,worst_result,num_trials,avg_time_per_iter,best_result_normalized,worst_result_normalized,best_result_normalized_1m,best_result_normalized_5m,best_result_normalized_10m,best_result_normalized_30m
CIFARProblem,BOHBSearcher,cifar10,1,1000,3600.0,8,-0.36520017494883716,-1.287175248382957,38,53.673946255131774,0.9851146151633174,0.8404900951370554,0.8680830374610721,0.9369652118203451,0.9427211627932524,0.9851146151633174
CIFARProblem,SkOptSearcher,cifar10,1,1000,3600.0,8,-0.34003823658653126,-1.9779800297338752,24,54.17305072148641,0.9890616126076458,0.7321278272043721,0.9880210314953928,0.9880210314953928,0.9880210314953928,0.9890616126076458
CIFARProblem,HyperOptSearcher,cifar10,1,4000,3600.0,8,-0.36576943231534353,-1.1900916259000256,24,54.59360755483309,0.9850253192856147,0.8557190017621628,0.9796162866354728,0.981877229914441,0.981877229914441,0.9850253192856147
CIFARProblem,ASHAHyperOptSearcher,cifar10,1,1000,3600.0,8,-0.3497086381836302,-1.8286784208273585,110,54.06984743284523,0.9875446765973995,0.7555478459764919,0.9022139507872787,0.9022139507872787,0.9543495471142808,0.9875446765973995
CIFARProblem,ASHARandomSearch,cifar10,1,1,3600.0,8,-0.35650236719543005,-1.8574836299389224,91,54.103349426057605,0.9864789864005266,0.7510293512123125,0.8850246434495804,0.8850246434495804,0.9533004101017913,0.9842185572344523
CIFARProblem,BOHBSearcher,cifar10,1,1,3600.0,8,-0.373403789499138,-1.4548201908039142,38,52.977630502299256,0.9838277649533671,0.8141926712358292,0.8452595841216607,0.9378993500076569,0.9779154511233475,0.9802612170112883
CIFARProblem,ASHASkOptSearcher,cifar10,1,1,3600.0,8,-0.33944226469203925,-3.282443227647226,76,56.24116773801307,0.989155099027912,0.527504763819978,0.8447105056714356,0.8941394651908853,0.9555445980052888,0.9888132618873617
CIFARProblem,BOHBSearcher,cifar10,1,4000,3600.0,8,-0.34557418558438113,-2.212962705877763,38,54.41652225820642,0.9881932225721953,0.6952675500330883,0.8541147991122633,0.9392242919709962,0.9537717006249731,0.9881932225721953
CIFARProblem,BlendSearchSearcher,cifar10,1,1,3600.0,8,-0.339136050859834,-1.0612646804493704,24,54.92117875814438,0.9892031328954038,0.8759272868764802,0.9222931357578847,0.9892031328954038,0.9892031328954038,0.9892031328954038
CIFARProblem,ASHAHEBOSearcher,cifar10,1,1000,3600.0,8,-0.38951430151796645,-1.6854818133032246,24,55.02198333541552,0.9813006087045307,0.7780102109897113,0.8863792317123695,0.967731616764274,0.967731616764274,0.9763632586185289
CIFARProblem,PBTSearcher,cifar10,1,1,3600.0,8,-0.30134618216300313,-1.456184687887787,33,59.19052099459099,0.9951309955671978,0.813978631028541,0.9889692095194246,0.9909036856070155,0.9909036856070155,0.9951309955671978
CIFARProblem,ASHABlendSearchSearcher,cifar10,1,4000,3600.0,8,-0.3193302968884729,-3.131840805464153,80,56.160265861413414,0.992309938864894,0.5511288331149227,0.8634448051052386,0.8962307457468304,0.9630178643999956,0.992309938864894
CIFARProblem,RandomSearch,cifar10,1,1000,3600.0,8,-0.3402623038762694,-1.6133603571326869,24,54.2299208243688,0.9890264645595416,0.7893234571747823,0.9753537025142256,0.984547357099392,0.984547357099392,0.9890264645595416
CIFARProblem,PBTSearcher,cifar10,1,4000,3600.0,8,-0.2703064890413345,-0.5145212291162226,30,57.37409293651581,0.9999999999999999,0.9616915461335486,0.98626715334871,0.9906561544959338,0.9980781285086819,0.9993328489938557
CIFARProblem,RandomSearch,cifar10,1,1,3600.0,8,-0.33282844552510904,-0.7790317254461301,24,54.74407511949539,0.9901925678815926,0.9201994226739281,0.9901925678815926,0.9901925678815926,0.9901925678815926,0.9901925678815926
CIFARProblem,ASHABlendSearchSearcher,cifar10,1,1000,3600.0,8,-0.3410120683757565,-3.1704977886586247,79,55.72307124199011,0.9889088536457593,0.5450649515618786,0.8274270519933087,0.8620079186181282,0.9557479739900604,0.9889088536457593
CIFARProblem,ASHAOptunaTPESearcher,cifar10,1,1000,3600.0,8,-0.3262758245513697,-1.558480999137782,72,55.70557780947004,0.9912204369537045,0.7979320421984528,0.8688497134825175,0.8997597863598936,0.9448284209833494,0.9912204369537045
