concurrency,problem,dataset,searcher,cv,seed,time_budget_s,best_result,best_result_normalized,worst_result,worst_result_normalized,num_trials,avg_time_per_iter,best_result_normalized_1m,best_result_normalized_5m,best_result_normalized_10m,best_result_normalized_30m
8.0,LightGBMProblem,APSFailure,ASHAAxSearcher,5.0,2000.3333333333333,3600.0,0.9269830756959401,0.919878994761323,0.7004702867874727,0.6707055084212609,200.0,5.658504841101725,0.7980591826126305,0.9156412160079417,0.91706190175776,0.9177371254939178
8.0,LightGBMProblem,APSFailure,ASHABlendSearchSearcher,5.0,2000.3333333333333,3600.0,0.9797919848477498,0.9779709906551591,0.5302800304553068,0.48348914984059355,255.0,5.088081161920022,0.8702647484136569,0.9517599816661182,0.9721954115503375,0.9761979436355261
8.0,LightGBMProblem,APSFailure,ASHACFOSearcher,5.0,2000.3333333333333,3600.0,0.939448188183341,0.9335911368044897,0.6556363716765646,0.6213863375775622,1207.6666666666667,5.194657287221917,0.900179319696051,0.9278598716696139,0.9304449566867583,0.9330893209742003
8.0,LightGBMProblem,APSFailure,ASHAHEBOSearcher,5.0,2000.3333333333333,3600.0,0.9548187039982072,0.9504993433163212,0.6425940433662783,0.6070392341282335,460.3333333333333,4.826462594451384,0.9105906880353504,0.9479606462707292,0.9486781664905289,0.9503599769283847
8.0,LightGBMProblem,APSFailure,ASHAHyperOptSearcher,5.0,2000.3333333333333,3600.0,0.9449527911001948,0.9396464288977956,0.5188359819298513,0.4709002206120329,1379.6666666666667,3.9432130778279872,0.8664694384191497,0.9338991112559715,0.9360097890741955,0.9369408480654022
8.0,LightGBMProblem,APSFailure,ASHAOptunaTPESearcher,5.0,2000.3333333333333,3600.0,0.7624415438445205,0.7388764679869065,0.5374112361707527,0.4913337726474934,564.6666666666666,9.608205193462204,0.7050786606604289,0.7267955482579236,0.7324677879121065,0.7329954505726577
8.0,LightGBMProblem,APSFailure,ASHARandomSearch,5.0,2000.3333333333333,3600.0,0.9912463283728757,0.9905712448114296,0.36121705903253637,0.2975128515334596,2184.6666666666665,3.4838689718504923,0.9573376590005802,0.9885089829659593,0.9897970680747106,0.9905458904192198
8.0,LightGBMProblem,APSFailure,ASHASkOptSearcher,5.0,2000.3333333333333,3600.0,0.928160736728375,0.9211744708648696,0.4772707497081366,0.42517673686028706,398.0,6.7458718623530665,0.7532125869159575,0.9148584979796709,0.9188675836346362,0.9196358666433188
8.0,LightGBMProblem,APSFailure,AxSearcher,5.0,2000.3333333333333,3600.0,0.9568761206537739,0.9527625871860915,0.748965084005888,0.7240518018049418,547.0,5.4499019280006635,0.9238166852393483,0.9472279205265762,0.9495426002695941,0.9524526671631769
8.0,LightGBMProblem,APSFailure,BOHBSearcher,5.0,2000.3333333333333,3600.0,0.9813617071987891,0.9796977505113209,0.5645732582861123,0.5212131263879347,132.66666666666666,6.735948312087449,0.8713206709625908,0.9486395018716604,0.966602264983243,0.9777797410285677
8.0,LightGBMProblem,APSFailure,BlendSearchSearcher,5.0,2000.3333333333333,3600.0,0.9599565300137048,0.9561511655673268,0.5967095045936754,0.556564333571094,228.0,44.13435930382386,0.9171948930206555,0.929278420096879,0.9365494568452825,0.9489633979630745
8.0,LightGBMProblem,APSFailure,CFOSearcher,5.0,2000.3333333333333,3600.0,0.984660426114749,0.9833264784816332,0.6666310844877498,0.6334809788367707,62.666666666666664,57.16117887124813,0.8277826874282544,0.9174042300247378,0.9254436084683064,0.959727499189254
8.0,LightGBMProblem,APSFailure,HEBOSearcher,5.0,2000.3333333333333,3600.0,0.9510285747476668,0.946330043544827,0.48360856403228264,0.43214859614705614,219.33333333333334,7.132465371531677,0.8025212767022291,0.9441071325989362,0.9445163406964615,0.945451938759256
8.0,LightGBMProblem,APSFailure,HyperOptSearcher,5.0,2000.3333333333333,3600.0,0.997119610681353,0.9970320995654367,0.6239611706715394,0.5865422993977413,188.33333333333334,12.826865923960803,0.7991560457162369,0.9955430232964012,0.9961540899880852,0.9969999893697525
8.0,LightGBMProblem,APSFailure,OptunaTPESearcher,5.0,2000.3333333333333,3600.0,0.983312978725149,0.9818442303253841,0.544175300746155,0.4987745249343912,272.0,4.215265551980852,0.8034651677656374,0.9784284637778775,0.9799973245637981,0.9815590514833374
8.0,LightGBMProblem,APSFailure,RandomSearch,5.0,2000.3333333333333,3600.0,0.9817170131016427,0.9800886017782973,0.5342584313707018,0.4878655562718792,413.3333333333333,6.409485770798631,0.8687254333579846,0.9487568209312465,0.9546128566871235,0.9793709275397314
8.0,LightGBMProblem,APSFailure,SkOptSearcher,5.0,2000.3333333333333,3600.0,0.8543570679952678,0.8399873664566209,0.6440198488268004,0.6086076794206736,178.66666666666666,43.93531146576959,0.6528672148181712,0.8104637147339949,0.8228935906914012,0.8322267607055497
8.0,LightGBMProblem,Amazon_employee_access,ASHAAxSearcher,5.0,3000.0,3600.0,0.9486941,0.8984339243152503,0.6408683,0.2890564745381552,317.0,40.15893412825598,0.757443363133181,0.8601136696572096,0.8631254602611513,0.8831271231401492
8.0,LightGBMProblem,Amazon_employee_access,ASHABlendSearchSearcher,5.0,2000.3333333333333,3600.0,0.8689757598506237,0.7406220748189121,0.5967114666666666,0.2016428188702453,138.66666666666666,6.115896261421838,0.3148925424614388,0.6447437804351511,0.7044680822082273,0.737898438486949
8.0,LightGBMProblem,Amazon_employee_access,ASHACFOSearcher,5.0,2000.3333333333333,3600.0,0.9506271226894779,0.9022605705446285,0.6514180202513727,0.3099408891084847,435.3333333333333,15.68468029254516,0.3099408891084847,0.8352670220457181,0.8753587870602848,0.8894355224197849
